experiment,model,n_eval_days,rmse_ctx_5,rmse_ctx_20,rmse_ctx_50,rmse_ctx_100,rmse_ctx_200,test_rmse,test_mse,test_mae,test_mape,test_max_mae,test_median_mae
vol_surface_dgraph,ssvi_data,5,,,,,,0.03018073,0.00091088,0.01893906,0.05134493,0.03038004,0.01780304
vol_surface_dgraph,ssvi_temporal,5,,,,,,0.04832952,0.00233574,0.03192224,0.08805186,0.04998656,0.02911405
vol_surface_dgraph,ssvi_temporal_graph,5,,,,,,0.06936753,0.00481185,0.0455539,0.11585776,0.07515595,0.0381017
vol_surface_dgraph,ssvi_temporal_graph_diag,5,,,,,,0.06715583,0.00450991,0.04522726,0.1159412,0.0759404,0.03896957
vol_surface_dgraph,pca_data,5,,,,,,0.02947003,0.00086848,0.01824954,0.04874732,0.03183634,0.01714174
vol_surface_dgraph,pca_temporal,5,,,,,,0.03052566,0.00093182,0.01911646,0.04994081,0.03295415,0.01808824
vol_surface_dgraph,pca_temporal_graph,5,,,,,,0.03518449,0.00123795,0.02323182,0.06250257,0.04663107,0.02081996
vol_smiles_dgraph,svijw_data,5,,,,,,0.21810137,0.04756821,0.10241453,0.24745804,0.68135037,0.01420837
vol_smiles_dgraph,svijw_temporal,5,,,,,,0.15615097,0.02438313,0.07887024,0.18522817,0.44098562,0.01332166
vol_smiles_dgraph,svijw_temporal_graph,5,,,,,,0.15615097,0.02438313,0.07887024,0.18522817,0.44098562,0.01332166
vol_smiles_dgraph,bspline_temporal,5,,,,,,0.08251238,0.00680829,0.02957417,0.06960539,0.29780355,0.00718654
vol_smiles_dgraph,bspline_tiered_graph,5,,,,,,0.03668887,0.00134607,0.02000726,0.04597969,0.15570034,0.00683009
vol_surface_grouptech,cnp,40,0.07187122,0.04433455,0.03013939,0.02398369,0.02078909,0.02078909,,,,,
