model,split,rmse,rmse_liquid,rmse_illiquid,mae,n_rows,butterfly_pct,calendar_pct
bspline,ctx_10,0.03257539863921541,0.023839088365662453,0.03459541611637117,0.024237166773102285,40,0.0,0.078125
bspline,ctx_100,0.02146535758412501,0.011682541263355842,0.023452889689709343,0.008829641315214017,40,0.36045599552694596,4.652827454753895
bspline,ctx_20,0.03267113241133595,0.02604991958988392,0.0342701541569255,0.02440073353025757,40,0.0,0.1516544117647059
bspline,ctx_5,0.03305591565442125,0.024320778272717985,0.03508098516133132,0.024624291433906185,40,0.0,0.0
bspline,ctx_50,0.02841995092339708,0.020555096290423548,0.030228078980796835,0.017398831469471125,40,0.2960083098709097,4.391608065055201
bspline,extrapolation,0.030308406917199743,nan,0.030308406917199743,0.019033096687316654,40,0.37825304517935743,0.18675015171467008
cnp,ctx_10,0.05932922708824231,0.0556251207350285,0.06030906825824379,0.048619252699194475,40,0.0,0.0
cnp,ctx_100,0.05890660520161035,0.055109754827222586,0.05990967637157655,0.04822923592920415,40,0.0,0.0
cnp,ctx_20,0.05922486679747888,0.0554835841730871,0.060214073477861875,0.048475952740525824,40,0.0,0.0
cnp,ctx_5,0.05913660938763789,0.05546325909863778,0.06010851232017423,0.04847369560296647,40,0.0,0.0
cnp,ctx_50,0.05905190892634799,0.05531640119563739,0.06003953338932447,0.048333186289062725,40,0.0,0.0
cnp,extrapolation,0.061488501262386586,nan,0.061488501262386586,0.05064433178851503,40,0.0,0.0
cnp_delta,ctx_10,0.04589832110160106,0.046127577347441884,0.04583500398099106,0.03357635431532037,40,0.43552599318197255,2.634064257117803
cnp_delta,ctx_100,0.045898665156442836,0.04612796949152661,0.04583533471352772,0.033576412043262026,40,0.43552599318197255,2.634064257117803
cnp_delta,ctx_20,0.04589789534102764,0.04612759872053529,0.045834454333038316,0.033576494336446834,40,0.43552599318197255,2.634064257117803
cnp_delta,ctx_5,0.045897075359204134,0.04612727313425585,0.0458334973656301,0.03357358920923011,40,0.43552599318197255,2.634064257117803
cnp_delta,ctx_50,0.04589874046915779,0.046127905059649345,0.045835448744772384,0.033576285731385214,40,0.43552599318197255,2.634064257117803
cnp_delta,extrapolation,0.045835265034509305,nan,0.045835265034509305,0.03330740426113698,40,0.6014861174962467,3.1706901038457906
kalman,ctx_10,0.0064271190086561715,0.004871546792825209,0.0067931305148408345,0.004226896076423215,40,0.07093039085640482,0.18508960402342756
kalman,ctx_100,0.0031615133384840987,0.00233081333361421,0.00335428793080908,0.0017964757797375463,40,0.12861144632247545,0.29201683881030416
kalman,ctx_20,0.004660366707934798,0.0033730441647159743,0.00495642299300025,0.0029066339047070576,40,0.07086361958140733,0.21959293844003874
kalman,ctx_5,0.00868238504912388,0.007065634856245331,0.009077075088843927,0.005943161919939949,40,0.03869512611927299,0.13830134326457857
kalman,ctx_50,0.003519381279148248,0.002556277479088938,0.003741256473350084,0.002043967553025264,40,0.10941279822048285,0.25944701102581796
kalman,extrapolation,0.007119281175901469,nan,0.007119281175901469,0.004501239112726626,40,0.08196499539537698,0.6152888341003557
pca,ctx_10,0.008083234041206035,0.0025697910397121377,0.009028221274317082,0.0024363310061044276,40,0.10892129580607753,0.3429717341482047
pca,ctx_100,0.0038356592800137205,0.0020647952086618286,0.004193916649241049,0.0016590121887712576,40,0.1609204954604171,0.3427275634410656
pca,ctx_20,0.009709957798573374,0.002096676049130956,0.010910080313972429,0.00231756218953745,40,0.11658767316728261,0.3725838057913782
pca,ctx_5,0.009088482722467348,0.003772798329347687,0.010070863338933372,0.003346155618932916,40,0.11629022562211003,0.3492042977381568
pca,ctx_50,0.006035310610599409,0.0020703955658751346,0.006728514435770386,0.0018514269254550119,40,0.10877426088004731,0.36334826498414613
pca,extrapolation,0.011255239289079342,nan,0.011255239289079342,0.0036111887308365154,40,0.15068352621929093,0.8963751840545602
ssvi,ctx_10,0.011420480806177441,0.0069108089351903965,0.012376852517212836,0.005246953444785652,40,0.0,0.10333428826075886
ssvi,ctx_100,0.009250756356350443,0.0047205702818414914,0.010148961076028673,0.003731393552161651,40,0.0,0.06390533486121722
ssvi,ctx_20,0.009989219962557278,0.005421207678573103,0.010916260755957691,0.004241018681917622,40,0.0,0.07721861471861471
ssvi,ctx_5,0.03305612530300691,0.02432084202674852,0.03508122492539506,0.02462461332255043,40,0.0,0.0
ssvi,ctx_50,0.009441646257258835,0.00503576513394307,0.010329827697347081,0.003834157436977364,40,0.0,0.07153679653679654
ssvi,extrapolation,0.019088188270960316,nan,0.019088188270960316,0.011869502426271742,40,0.0,0.11088136913489736
svi,ctx_10,0.031217796979690633,0.022200875304234327,0.03327399066672352,0.023064920610766294,40,0.0,0.0
svi,ctx_100,0.008031320606403484,0.007848946521441592,0.008080806918400699,0.0029890386502205045,40,0.038597091081244574,0.8740140855645777
svi,ctx_20,0.020720233974306987,0.014740524497474752,0.022084056479071145,0.012314012708691103,40,0.031725888324873094,0.3285729206455309
svi,ctx_5,0.03305612530300691,0.02432084202674852,0.03508122492539506,0.02462461332255043,40,0.0,0.0
svi,ctx_50,0.010823230093962638,0.01035429891631864,0.01094880487243826,0.004257179070500663,40,0.006476683937823834,1.0710281853760566
svi,extrapolation,0.01883881928107325,nan,0.01883881928107325,0.011546096614446801,40,0.0,0.800820706259296
