model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,call_sq,call_n,call_oob,call_oob_spread_sum,butterfly_pct,calendar_pct
prior,957,unif_2,18.60138870936501,3107,153.7013256251812,7.251199854287561,1427,11.350188855077452,1680,0.2598873972466464,3107,2637,112756.65174757956,0.0,0.0
prior,958,unif_2,32.359221117365976,3169,218.484264023602,14.19193435130423,1450,18.167286766061753,1719,1.2212088882269563,3169,2870,197292.07004554238,0.0,0.0
prior,959,unif_2,21.474489251651,3144,146.81048978865147,4.411882553058387,1402,17.062606698592614,1742,0.06423628805461007,3144,2781,37994.80109855761,0.0,0.0
prior,960,unif_2,23.021152278896864,3132,165.57018366456032,4.626084266947134,1349,18.395068011949732,1783,0.15513291863938347,3132,2816,36990.559045286296,0.0,0.0
prior,961,unif_2,21.889754918262685,3133,158.80595645308495,5.607450086456533,1357,16.28230483180615,1776,0.21178670906436559,3133,2780,86550.13603382901,0.0,0.0
prior,962,unif_2,18.3486038839192,3063,165.5267753303051,8.242895568748885,1359,10.105708315170313,1704,0.46744065570356413,3063,2660,114182.43342310496,0.0,0.0
prior,963,unif_2,11.158547611772585,3041,118.1796460673213,2.997531307602805,1351,8.16101630416978,1690,0.09414560073939669,3041,2601,32987.06213613915,0.0,0.0
prior,964,unif_2,15.704715941865505,3070,142.09604593366385,3.1823871062889104,1348,12.522328835576594,1722,0.13815256820711747,3070,2687,39625.16583972904,0.0,0.0
prior,965,unif_2,19.55980432061634,3062,175.56161783635616,6.739921346195106,1281,12.819882974421237,1781,0.3730340377140707,3062,2811,80491.76931089058,0.0,0.0
prior,966,unif_2,22.739472960756565,3113,183.13706508278847,7.207843909404078,1487,15.531629051352489,1626,0.29738307171798817,3113,2859,106897.7903960806,0.0,0.0
prior,957,extrap_2,25.40498707414309,3107,188.2074521780014,9.881644348956705,1427,15.523342725186387,1680,0.30214417102008206,3107,2735,53476.071518102464,0.0,0.0
prior,958,extrap_2,24.69474229560701,3169,185.41322777420282,8.316770093844971,1450,16.37797220176204,1719,0.6043638593666943,3169,2796,70143.42212778465,0.0,0.0
prior,959,extrap_2,23.426972249135254,3144,158.0365665256977,4.854392032814904,1402,18.57258021632035,1742,0.10613402934877914,3144,2783,44069.269735737405,0.0,0.0
prior,960,extrap_2,22.760097096598574,3132,166.75732344388962,4.837467422176532,1349,17.922629674422048,1783,0.1825303009762218,3132,2749,38194.1814457942,0.0,0.0
prior,961,extrap_2,26.130708451560817,3133,206.6290315464139,8.693131614164109,1357,17.43757683739671,1776,0.41902643780903237,3133,2967,68673.8902649309,0.0,0.0
prior,962,extrap_2,16.85731676603867,3063,157.51272174715996,4.010787358007859,1359,12.846529408030813,1704,0.26807329205820624,3063,2752,58541.66511537523,0.0,0.0
prior,963,extrap_2,15.118595843171999,3041,146.61464058607817,3.979622345425147,1351,11.138973497746848,1690,0.2525304519098096,3041,2659,32785.73690334563,0.0,0.0
prior,964,extrap_2,16.5707642021058,3070,155.79292536526918,3.9897107746847214,1348,12.581053427421077,1722,0.2041843076507158,3070,2717,43661.40450205343,0.0,0.0
prior,965,extrap_2,20.806482164828825,3062,178.04069420695305,4.2976427340218954,1281,16.50883943080693,1781,0.2866108067748548,3062,2915,64355.31258765134,0.0,0.0
prior,966,extrap_2,24.85775775867357,3113,186.41754110902548,8.291382823562742,1487,16.566374935110833,1626,0.3995794904214024,3113,2867,167703.56967680363,0.0,0.0
prior,957,unif_4,31.003426287257497,3107,187.9850634932518,19.37205319391875,1427,11.631373093338748,1680,0.17689922999651608,3107,2765,48869.28016490671,0.0,2.4691358024691357
prior,958,unif_4,18.835130301968274,3169,156.3877688124776,7.1373197510980075,1450,11.697810550870264,1719,0.14314843106412034,3169,2674,59325.78838186552,0.0,2.5
prior,959,unif_4,22.02228966718773,3144,180.37373153865337,11.541814920995138,1402,10.480474746192593,1742,0.2392643656147109,3144,2841,90295.91326682786,0.0,1.2345679012345678
prior,960,unif_4,23.10001435252134,3132,150.83745500445366,4.348106547101611,1349,18.751907805419734,1783,0.08624413904189927,3132,2639,35344.03836781789,0.0,0.0
prior,961,unif_4,30.414638142506206,3133,188.21123594790697,17.594632870468832,1357,12.82000527203738,1776,0.14425474876368988,3133,2801,47463.115150707745,0.0,4.938271604938271
prior,962,unif_4,19.41979185044815,3063,154.35798873007298,11.7817746509271,1359,7.6380171995210455,1704,0.2234099011180654,3063,2582,57320.984425856426,0.0,2.5
prior,963,unif_4,25.58580692521914,3041,171.50904900580645,17.36385386015597,1351,8.221953065063166,1690,0.20191597054604876,3041,2546,44275.444594722074,0.0,3.7037037037037037
prior,964,unif_4,22.485884704986336,3070,151.39248870313168,10.448118560566575,1348,12.03776614441976,1722,0.09272250755644024,3070,2575,35747.53271095839,0.0,1.2195121951219512
prior,965,unif_4,19.227988797109447,3062,152.02027156949043,3.94065266428612,1281,15.287336132823325,1781,0.2097358255692857,3062,2673,62639.5267191672,0.0,1.2195121951219512
prior,966,unif_4,24.664304839485226,3113,169.2795640155673,7.55861687617662,1487,17.105687963308604,1626,0.1116433209632795,3113,2800,63658.65358481434,0.0,0.0
prior,957,extrap_4,23.012678235233412,3107,176.2318155914545,7.756591633084925,1427,15.256086602148482,1680,0.22040349674998846,3107,2758,73145.40641020532,0.0,0.0
prior,958,extrap_4,26.03275664218215,3169,188.07833317667246,6.505947019187358,1450,19.526809622994794,1719,0.24152038272959003,3169,2915,49781.58761457325,0.0,3.75
prior,959,extrap_4,22.8440100491619,3144,180.90516109764576,7.761667693104281,1402,15.082342356057616,1742,0.2067321755223722,3144,2779,57485.091679673074,0.0,6.172839506172839
prior,960,extrap_4,20.29387000835271,3132,148.43801213800907,3.789366930361269,1349,16.50450307799144,1783,0.10929561687297693,3132,2660,42419.392593869154,0.0,0.0
prior,961,extrap_4,22.32658490671782,3133,160.93528405576944,5.518941409051126,1357,16.807643497666696,1776,0.11340329575605679,3133,2837,44470.08799972324,0.0,0.0
prior,962,extrap_4,15.25466787203424,3063,140.8037064820528,5.497877030232285,1359,9.756790841801955,1704,0.1234692549783695,3063,2599,45562.663573845304,0.0,0.0
prior,963,extrap_4,12.931334029509935,3041,122.17359244078398,3.234464673389385,1351,9.696869356120551,1690,0.1072752150745207,3041,2631,28083.6843485278,0.0,1.2345679012345678
prior,964,extrap_4,15.866861108733728,3070,134.99620931595564,3.523692931150385,1348,12.343168177583344,1722,0.1061822394130609,3070,2624,41007.239108218,0.0,0.0
prior,965,extrap_4,20.59709523137469,3062,163.46118594706059,4.226205494838738,1281,16.370889736535954,1781,0.1719276152135709,3062,2893,61911.625825730334,0.0,1.2195121951219512
prior,966,extrap_4,27.940172086278523,3113,173.11109791696072,5.095023587723139,1487,22.845148498555382,1626,0.17705708995522426,3113,2899,77941.40595473466,0.0,0.0
prior,957,unif_8,32.85540381095093,3107,208.5401403158903,21.00454572810942,1427,11.85085808284151,1680,0.21254159438156606,3107,2742,65668.95368846235,0.0,12.345679012345679
prior,958,unif_8,20.325159028560357,3169,161.4670127108693,11.00153582937999,1450,9.323623199180366,1719,0.16128867434388552,3169,2715,87042.57328092807,0.06311139160618491,5.0
prior,959,unif_8,24.931813218919352,3144,170.36660411953926,9.595841196777267,1402,15.335972022142089,1742,0.16699817167280107,3144,2811,68547.70188555396,0.0,3.7037037037037037
prior,960,unif_8,20.927852341158143,3132,155.35229425132275,6.6942408004291565,1349,14.233611540728988,1783,0.2249989555335781,3132,2662,59544.72910625303,0.0,7.407407407407407
prior,961,unif_8,26.051215919567177,3133,195.4774220660329,14.54280790794106,1357,11.508408011626118,1776,0.20697051966771896,3133,2761,64253.95266376924,0.0,3.7037037037037037
prior,962,unif_8,30.01810842965559,3063,189.1670442521572,23.389146035609773,1359,6.628962394045813,1704,0.24223259532939972,3063,2457,106026.68714882838,0.0,7.5
prior,963,unif_8,15.760104665727248,3041,131.41247982531786,7.5322571080107865,1351,8.227847557716458,1690,0.10608502590172886,3041,2408,36026.62371835459,0.0,7.407407407407407
prior,964,unif_8,16.27930903413564,3070,141.2252064421773,5.180366720733219,1348,11.09894231340242,1722,0.09730710873294404,3070,2571,41106.971514829915,0.0,3.658536585365854
prior,965,unif_8,23.733949173678916,3062,169.33434718847275,12.875145149560954,1281,10.858804024117958,1781,0.126178446472905,3062,2624,52507.27652074318,0.0,7.103658536585366
prior,966,unif_8,29.80130803736249,3113,191.2635774537921,14.711927255497127,1487,15.089380781865366,1626,0.16788895084736416,3113,2723,84063.10793467554,0.0,3.658536585365854
prior,957,extrap_8,21.42701073314787,3107,169.15130284428596,7.7742853179608655,1427,13.652725415187009,1680,0.13584121169904168,3107,2733,49877.5369987374,0.0321853878339234,3.7037037037037037
prior,958,extrap_8,17.124611472990694,3169,135.9360041692853,4.6844678096486705,1450,12.44014366334202,1719,0.13541303233854327,3169,2721,62564.559901362576,0.3155569580309246,1.25
prior,959,extrap_8,21.87762190922549,3144,162.44213090837002,4.453969109154148,1402,17.42365280007134,1742,0.12090220360000149,3144,2853,44803.36157698919,0.44529262086513993,1.2345679012345678
prior,960,extrap_8,18.321241455862896,3132,150.43392379581928,3.489516344225911,1349,14.831725111636986,1783,0.13168955783551284,3132,2780,44943.087965003506,0.031928480204342274,1.2345679012345678
prior,961,extrap_8,22.026975202457738,3133,160.33519745618105,5.447923239534752,1357,16.579051962922982,1776,0.16998856796052458,3133,2711,57775.049210185985,0.0,3.7037037037037037
prior,962,extrap_8,16.524359138728343,3063,135.93514104187489,6.378679942833521,1359,10.145679195894822,1704,0.09300384456604872,3063,2566,55326.14326737274,0.06533812479581835,6.6875
prior,963,extrap_8,13.067427754168655,3041,120.93008577078581,3.490956846632006,1351,9.576470907536649,1690,0.08054978545065318,3041,2503,27520.582564615142,0.09865175928970733,1.8209876543209877
prior,964,extrap_8,15.3968891265827,3070,130.86154226958752,4.339190965042242,1348,11.05769816154046,1722,0.07327813389256879,3070,2607,32558.244038121447,0.0,2.4390243902439024
prior,965,extrap_8,19.269722903018206,3062,141.64889545738697,3.8497399550013274,1281,15.419982948016877,1781,0.08376926202656906,3062,2659,38915.50895824167,0.06531678641410843,1.951219512195122
