model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,call_sq,call_n,call_oob,call_oob_spread_sum,butterfly_pct,calendar_pct
prior,957,unif_2,4.189593400693774,367,22.09825411438942,1.094002518598856,171,3.0955908820949176,196,0.004953977014688486,367,307,1919.0705712531753,0.0,0.0
prior,958,unif_2,13.2599009272162,388,67.43917848169804,6.75643732756706,181,6.50346359964914,207,0.6662410470293064,388,377,21450.95240565341,0.0,0.0
prior,959,unif_2,4.166202286696169,372,21.81139735877514,0.8168364722132837,172,3.3493658144828853,200,0.004943006665493676,372,344,1588.8618217561907,0.0,0.0
prior,960,unif_2,3.6578712857083846,372,23.45714922249317,0.6578280835253347,168,3.0000432021830497,204,0.01752456682410545,372,345,1568.0229792872951,0.0,0.0
prior,961,unif_2,4.406174037643536,381,23.696734942495823,0.8802026586942253,173,3.52597137894931,208,0.005017846762513709,381,341,1119.4526868441217,0.0,0.0
prior,962,unif_2,2.508987595555536,355,16.750308379530907,0.4637232330801704,168,2.0452643624753657,187,0.004549856090031319,355,321,1374.7153051041437,0.0,0.0
prior,963,unif_2,1.8714595850831766,351,16.110563829541206,0.6844087216620696,170,1.187050863421107,181,0.0044731374724724365,351,320,1770.0316704295356,0.0,0.0
prior,964,unif_2,1.741076742618052,356,15.652167975902557,0.36525415302930275,172,1.3758225895887493,184,0.004440985238527504,356,324,1408.277090729965,0.0,0.0
prior,965,unif_2,4.847364665300211,364,37.93376588821411,2.647903865184292,169,2.199460800115919,195,0.16976249857718909,364,357,6356.538917488239,0.0,0.0
prior,966,unif_2,2.8556634688332183,370,23.176974266767502,0.8782489499510939,197,1.9774145188821244,173,0.020441897778413435,370,357,4310.691708232256,0.0,0.0
prior,957,unif_2_excl,4.189593400693774,367,22.09825411438942,1.094002518598856,171,3.0955908820949176,196,0.004953977014688486,367,307,1919.0705712531753,0.0,0.0
prior,958,unif_2_excl,13.2599009272162,388,67.43917848169804,6.75643732756706,181,6.50346359964914,207,0.6662410470293064,388,377,21450.95240565341,0.0,0.0
prior,959,unif_2_excl,4.166202286696169,372,21.81139735877514,0.8168364722132837,172,3.3493658144828853,200,0.004943006665493676,372,344,1588.8618217561907,0.0,0.0
prior,960,unif_2_excl,3.6578712857083846,372,23.45714922249317,0.6578280835253347,168,3.0000432021830497,204,0.01752456682410545,372,345,1568.0229792872951,0.0,0.0
prior,961,unif_2_excl,4.406174037643536,381,23.696734942495823,0.8802026586942253,173,3.52597137894931,208,0.005017846762513709,381,341,1119.4526868441217,0.0,0.0
prior,962,unif_2_excl,2.508987595555536,355,16.750308379530907,0.4637232330801704,168,2.0452643624753657,187,0.004549856090031319,355,321,1374.7153051041437,0.0,0.0
prior,963,unif_2_excl,1.8714595850831766,351,16.110563829541206,0.6844087216620696,170,1.187050863421107,181,0.0044731374724724365,351,320,1770.0316704295356,0.0,0.0
prior,964,unif_2_excl,1.741076742618052,356,15.652167975902557,0.36525415302930275,172,1.3758225895887493,184,0.004440985238527504,356,324,1408.277090729965,0.0,0.0
prior,965,unif_2_excl,4.847364665300211,364,37.93376588821411,2.647903865184292,169,2.199460800115919,195,0.16976249857718909,364,357,6356.538917488239,0.0,0.0
prior,966,unif_2_excl,2.8556634688332183,370,23.176974266767502,0.8782489499510939,197,1.9774145188821244,173,0.020441897778413435,370,357,4310.691708232256,0.0,0.0
prior,957,extrap_2,6.295404877989403,367,31.7467749863863,1.78308173875717,171,4.512323139232234,196,0.027193947708462785,367,357,2893.470371996789,0.0,0.0
prior,958,extrap_2,9.386352964377984,388,55.800085976719856,4.572682970308213,181,4.81366999406977,207,0.43869598964467243,388,373,16723.892036865665,0.0,0.0
prior,959,extrap_2,3.8303304169466372,372,22.356808349490166,0.785554511377393,172,3.044775905569244,200,0.010859346616398077,372,353,1974.2624699944072,0.0,0.0
prior,960,extrap_2,5.751673495828434,372,28.676883652806282,1.01566069397784,168,4.736012801850591,204,0.016144118866276435,372,347,1171.539792704078,0.0,0.0
prior,961,extrap_2,3.5167564389434838,381,28.79077212512493,1.1542440307058681,173,2.362512408237616,208,0.06595353628195477,381,365,3104.339197177577,0.0,0.0
prior,962,extrap_2,2.3151388760610767,355,17.00114294886589,0.47363536377324134,168,1.8415035122878354,187,0.005670210987721071,355,325,1607.99057430455,0.0,0.0
prior,963,extrap_2,2.141029184537423,351,23.263459846377373,1.1925375042864448,170,0.9484916802509786,181,0.05050234941200618,351,331,3746.13775887511,0.0,0.0
prior,964,extrap_2,1.662254851463792,356,19.09095101058483,0.631949589284807,172,1.030305262178985,184,0.022042854524721316,356,337,2382.1540146780044,0.0,0.0
prior,965,extrap_2,3.907328779446906,364,24.11587417125702,0.5058128306218586,169,3.4015159488250477,195,0.02061339870181416,364,347,1611.6397541859603,0.0,0.0
prior,966,extrap_2,3.822119615338668,370,22.687783300876617,0.6654257626580342,197,3.1566938526806334,173,0.011180572854843345,370,349,2187.7295524382453,0.0,0.0
prior,957,extrap_2_excl,6.295404877989403,367,31.7467749863863,1.78308173875717,171,4.512323139232234,196,0.027193947708462785,367,357,2893.470371996789,0.0,0.0
prior,958,extrap_2_excl,9.386352964377984,388,55.800085976719856,4.572682970308213,181,4.81366999406977,207,0.43869598964467243,388,373,16723.892036865665,0.0,0.0
prior,959,extrap_2_excl,3.8303304169466372,372,22.356808349490166,0.785554511377393,172,3.044775905569244,200,0.010859346616398077,372,353,1974.2624699944072,0.0,0.0
prior,960,extrap_2_excl,5.751673495828434,372,28.676883652806282,1.01566069397784,168,4.736012801850591,204,0.016144118866276435,372,347,1171.539792704078,0.0,0.0
prior,961,extrap_2_excl,3.5167564389434838,381,28.79077212512493,1.1542440307058681,173,2.362512408237616,208,0.06595353628195477,381,365,3104.339197177577,0.0,0.0
prior,962,extrap_2_excl,2.3151388760610767,355,17.00114294886589,0.47363536377324134,168,1.8415035122878354,187,0.005670210987721071,355,325,1607.99057430455,0.0,0.0
prior,963,extrap_2_excl,2.141029184537423,351,23.263459846377373,1.1925375042864448,170,0.9484916802509786,181,0.05050234941200618,351,331,3746.13775887511,0.0,0.0
prior,964,extrap_2_excl,1.662254851463792,356,19.09095101058483,0.631949589284807,172,1.030305262178985,184,0.022042854524721316,356,337,2382.1540146780044,0.0,0.0
prior,965,extrap_2_excl,3.907328779446906,364,24.11587417125702,0.5058128306218586,169,3.4015159488250477,195,0.02061339870181416,364,347,1611.6397541859603,0.0,0.0
