model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,call_sq,call_n,call_oob,call_oob_spread_sum,butterfly_pct,calendar_pct
prior,800,unif_1,0.01723642642804557,338,1.2426378279924393,0.009707446898385985,174,0.007528979529659585,164,8.883047671225198e-05,338,189,337.8450584437974,0.2958579881656805,0.0
prior,801,unif_1,0.008024920608195263,335,0.7393009066581726,0.006208763669691475,176,0.001816156938503788,159,1.9757732547046468e-05,335,148,73.95853269905288,0.29850746268656714,0.0
prior,802,unif_1,0.0534367371089417,338,2.9485237151384354,0.03236768401195267,181,0.021069053096989032,157,0.00020704699265330733,338,310,780.4415153275155,0.2958579881656805,0.0
prior,803,unif_1,0.13281018894340257,356,2.658481851220131,0.04863662115069611,172,0.08417356779270646,184,0.00010110861219619137,356,258,460.24857283309564,1.6853932584269662,0.0
prior,804,unif_1,0.05289157479458262,355,3.1248366683721542,0.038941169796190334,162,0.013950404998392285,193,0.00025788669597911584,355,318,817.1137559999181,1.1267605633802817,0.6818181818181818
prior,805,unif_1,0.00827598667614815,358,1.097723126411438,0.004236468465441456,166,0.004039518210706694,192,3.0402888670061392e-05,358,216,223.08947376771823,0.8379888268156425,0.0
prior,806,unif_1,0.05136518537432444,360,3.11348494887352,0.024898680498238956,167,0.026466504876085484,193,0.0003715719692711922,360,327,914.9014159990368,0.0,0.0
prior,807,unif_1,0.0938031145327678,363,2.5311019867658615,0.014387390720578042,166,0.07941572381218975,197,0.0001769181100715033,363,301,686.9364533881012,0.0,0.9090909090909091
prior,808,unif_1,0.05974291578528401,370,2.7725495994091034,0.0456636843669207,170,0.014079231418363314,200,0.0002706722826253155,370,298,680.497223893097,1.3513513513513513,1.1363636363636365
prior,809,unif_1,0.01691332730469286,368,1.4313111007213593,0.0032263231965454775,167,0.013687004108147383,201,0.00010218744326911005,368,292,296.6382118293219,1.0869565217391304,0.0
prior,810,unif_1,0.04543647202622725,375,3.1907653361558914,0.031308574338310136,170,0.014127897687917113,205,0.00039649436778468785,375,333,973.4164230116355,0.5333333333333333,0.0
prior,811,unif_1,0.04046074497952934,366,3.071911320090294,0.02543830061357588,165,0.015022444365953458,201,0.0004117810137469868,366,321,1092.7665244919403,0.273224043715847,0.0
prior,812,unif_1,0.025885381732199342,362,2.209972530603409,0.01922714533881953,188,0.006658236393379813,174,0.00016688250246492343,362,318,535.0673262231106,0.8287292817679558,0.0
prior,813,unif_1,0.4295556327214811,385,8.262346178293228,0.33635414686317566,198,0.09320148585830546,187,0.0015910532608643735,385,368,2079.4555443474637,0.2597402597402597,0.6818181818181818
prior,814,unif_1,0.03613252302909342,386,2.8004039376974106,0.019430904669921256,203,0.016701618359172166,183,0.00011872572901615726,386,363,587.4660729194719,0.0,0.45454545454545453
prior,815,unif_1,0.10106551159143828,381,4.63376048207283,0.06418451149824533,198,0.03688100009319295,183,0.0004896425936162904,381,361,1418.859427880147,0.26246719160104987,0.0
prior,816,unif_1,0.06667979558416093,384,2.8048485815525055,0.022632753057992838,201,0.04404704252616809,183,0.0001282856002824685,384,322,464.9173414533986,0.0,0.45454545454545453
prior,817,unif_1,0.10343350551827313,377,3.5889248102903366,0.017190241831033015,195,0.08624326368724011,182,0.0003165428346703865,377,324,609.7893391908046,0.26525198938992045,0.0
prior,818,unif_1,0.05797859339424294,376,2.494058847427368,0.0525920242433815,197,0.005386569150861442,179,0.00026237374353511736,376,272,582.7282508539923,1.3297872340425532,0.0
prior,819,unif_1,0.0790819650442165,378,4.27141147851944,0.06226124603488237,201,0.01682071900933413,177,0.0005326879027633345,378,343,987.4175667317934,0.0,0.0
prior,820,unif_1,1.6127682967993895,387,10.048374116420746,1.461395589619382,200,0.1513727071800075,187,0.010370994422649188,387,298,2897.4828148220267,0.0,8.181818181818182
prior,821,unif_1,1.1460495515238673,374,14.232346162199974,1.0634628105292752,201,0.08258674099459218,173,0.003161342346440916,374,368,5322.385063531259,0.26737967914438504,0.0
prior,822,unif_1,0.10770578013753962,364,4.7641262114048,0.0842996482224736,192,0.02340613191506602,172,0.0006952563498450555,364,336,1586.807504096179,0.8241758241758241,0.0
prior,823,unif_1,0.08245494794297392,364,3.4877437204122543,0.06461531480031368,189,0.01783963314266024,175,0.0002984340609417875,364,331,773.475330018775,1.3736263736263736,0.9090909090909091
prior,824,unif_1,0.12860507989917025,381,4.656663596630096,0.08703488412955518,199,0.04157019576961507,182,0.0002733122626914357,381,348,907.1020422846078,2.3622047244094486,0.0
prior,825,unif_1,0.37815241889159434,371,4.134743750095367,0.37189369380367987,165,0.006258725087914474,206,0.0014905796225538686,371,245,1394.436380795149,0.2695417789757412,5.0
prior,826,unif_1,0.11465698135401037,373,4.587249532341957,0.07992574534812547,168,0.0347312360058849,205,0.00038001761359010176,373,344,1661.5631366116645,0.0,0.0
prior,827,unif_1,0.1261761878790164,383,2.939567655324936,0.04451591914766495,186,0.08166026873135146,197,0.00012108898219035067,383,309,597.0629388046443,0.5221932114882507,0.0
prior,828,unif_1,0.09226935720427254,371,2.768556907773018,0.017084826892890925,177,0.07518453031138161,194,0.00014177337024776334,371,316,731.7260343899139,0.0,0.0
prior,829,unif_1,0.09055912628146778,366,1.9004029631614685,0.006996771670783719,178,0.08356235461068406,188,2.874242167240109e-05,366,233,243.8185100553527,0.273224043715847,0.0
prior,830,unif_1,0.7828154365708426,376,13.877133384346962,0.5281738912801839,181,0.25464154529065874,195,0.004321496363085571,376,376,2818.375914640547,0.26595744680851063,0.0
prior,831,unif_1,0.10993932375009896,366,4.057939559221268,0.06948596059985146,169,0.0404533631502475,197,0.00034235986133654704,366,316,1094.2458278732754,1.639344262295082,0.0
prior,832,unif_1,0.4390902926197737,358,5.223715618252754,0.11464519548995811,168,0.3244450971298156,190,0.0003130222583002931,358,272,599.7669501312668,1.3966480446927374,0.45454545454545453
prior,833,unif_1,0.1667957238219835,348,5.844648227095604,0.12553070270446054,163,0.04126502111752295,185,0.0008894479554813759,348,329,1612.046431763993,0.28735632183908044,0.0
