model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,call_sq,call_n,call_oob,call_oob_spread_sum,butterfly_pct,calendar_pct
prior,800,unif_1,0.016073163699178883,361,1.3486662358045578,0.006431591482329635,173,0.009641572216849248,188,6.723864637789753e-05,361,274,144.1671167459532,0.2777777777777778,0.0
prior,801,unif_1,0.044915085537043486,362,1.634009674191475,0.028695137631340684,173,0.016219947905702803,189,0.0001648272948455668,362,119,137.26094895025474,0.5524861878453039,0.0
prior,802,unif_1,0.054972231314105224,364,3.1379002183675766,0.03576062449248529,171,0.01921160682161993,193,0.00038308857042441177,364,345,785.9482046730857,0.27548209366391185,0.0
prior,803,unif_1,0.8692171046209225,378,9.349621891975403,0.7818614863623976,150,0.08735561825852489,228,0.004424769124676898,378,354,2326.227405105684,0.7936507936507936,7.222222222222222
prior,804,unif_1,0.009731147537622498,380,1.1960764229297638,0.004190728554493539,152,0.0055404189831289585,228,9.440909569196612e-05,380,238,174.5626330669401,0.0,0.0
prior,805,unif_1,0.03286317006227257,370,1.6857853531837463,0.012443737062000082,150,0.02041943300027249,220,0.00012131764194944453,370,236,232.53964462363945,0.0,0.0
prior,806,unif_1,0.0951920426859596,372,4.083494395017624,0.034684021413799115,148,0.060508021272160484,224,0.0006083829231465796,372,350,878.3179829189561,2.150537634408602,0.0
prior,807,unif_1,0.03646470301038818,373,2.5218722224235535,0.020784926707074547,146,0.01567977630331363,227,0.0001817836767570017,373,297,684.9969426469379,0.2680965147453083,0.0
prior,808,unif_1,0.04868129692294776,402,3.662127822637558,0.02657037342391355,154,0.022110923499034207,248,0.0011916711845856363,402,361,963.4086392355773,0.9975062344139651,0.0
prior,809,unif_1,0.05734195780851081,400,3.4611936211586,0.04215183626404073,156,0.015190121544470081,244,0.00037794815344132157,400,368,630.927542815587,0.5,0.0
prior,810,unif_1,0.012611556246033828,384,1.0702089071273804,0.004729598462375861,147,0.007881957783657967,237,4.981976415431768e-05,384,200,137.98929069977,0.2604166666666667,0.0
prior,811,unif_1,0.05141452731547247,382,3.3631292581558228,0.02618890759399406,148,0.02522561972147841,234,0.0004111149925388534,382,349,821.0107309960233,0.2617801047120419,0.0
prior,812,unif_1,0.01326716581734999,379,1.38308846950531,0.007302009010651922,176,0.005965156806698069,203,5.6965675196963045e-05,379,129,83.52139053075649,0.0,0.0
prior,813,unif_1,0.5292998765144201,390,6.263648331165314,0.34233505389185837,174,0.18696482262256175,216,0.001449706948839975,390,238,954.4085734320141,0.2564102564102564,0.0
prior,814,unif_1,0.03547162664191106,382,2.3887410759925842,0.025673326344032965,180,0.009798300297878093,202,0.00020467590818308362,382,277,265.07077618691415,0.0,0.0
prior,815,unif_1,0.07356749834487175,394,3.7148489356040955,0.04314902175224944,179,0.030418476592622312,215,0.0005974681741996713,394,361,1057.1828293773342,0.5076142131979695,0.0
prior,816,unif_1,0.0559900825580355,381,2.885605365037918,0.04137542093913016,178,0.014614661618905345,203,0.0004359755409357888,381,299,392.4074361024813,0.0,0.0
prior,817,unif_1,0.15498789318937067,372,2.537761002779007,0.11868724673574249,166,0.03630064645362818,206,0.00037186758504153394,372,181,307.3135563749517,0.0,0.0
prior,818,unif_1,0.27778021841510725,390,4.43764129281044,0.0718638754738361,169,0.20591634294127115,221,0.0002890877356915474,390,292,428.0145411244796,0.0,0.0
prior,819,unif_1,0.030883076519338637,382,1.8393883407115936,0.0141527594647064,175,0.016730317054632238,207,4.781045071870166e-05,382,201,167.39742567454,0.2617801047120419,0.0
